Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
40,12,116,585,672,129
40,39,104,627,650,520
40,12,79,292,738,141.7
65,226,324,754,600,384
8,60,276,13250,817,9846
14,15,210,4940,300,384
55,95,256,956,625,800
55,23,121,314,600,96
12,250,815,21100,1200,14900
55,182,470,1400,518,414.7
40,19,67,370,625,200
14,15,210,4940,300,461.2
7,45,156,9800,300,1843
55,32,67,181,400,32
40,160,332,1950,675,907.2
12,31,200,4700,1035,2285
7,100,158,6400,1670,5196
16,100,314,7200,1227,4398
14,120,495,12500,1138,9326
28,300,352,4313,825,3405
16,120,314,7200,1506,3935
28,50,118,1270,941,742.7
28,200,352,4313,800,2867
28,190,366,5000,970,3476
28,75,228,2940,1026,1828
40,11,59,292,675,108
14,100,208,5000,1063,3656
28,64,118,1270,902,692.7
14,75,232,5700,713,3892
55,59,146,514,750,480
16,80,200,4400,1404,4275
65,35,86,210,480,19.2
40,35,116,585,660,253.4
40,23,100,486,500,105.6
28,95,363,5000,853,1310
40,250,520,3000,651,1332
40,7,59,292,500,80
14,300,495,12500,1382,13110
40,12,116,585,672,129
55,25,73,242,600,96
28,47,123,1500,800,614.4
40,25,100,486,475,52.8
28,274,352,4313,975,3994
28,150,212,2800,900,1894
12,250,815,21100,1132,16660
28,150,212,2800,900,1894
16,120,200,4400,1506,4375
28,225,294,3540,745,2289
55,75,196,505,650,156
12,250,815,21100,937,13210
28,225,294,3540,745,2289
80,50,127,210,459,29.38
55,25,67,181,600,48
7,15,156,9800,400,1843
28,55,123,1500,925,947.2
40,35,104,716,725,696
40,62,238,1170,625,480
28,25,87,1020,902,692.7
55,35,146,514,500,320
40,50,212,1700,580,1114
28,170,294,3540,915,2634
80,11,127,210,400,25.6
32,35,227,1178,593,189.8
40,20,104,716,600,576
14,375,495,12500,1382,13110
28,4,110,1178,225,57.6
40,31,57,260,520,39.36
65,13,86,210,550,22.4
55,106,192,666,777,497.3
16,250,471,11800,1025,11470
14,50,103,2200,980,1121
28,15,125,1200,200,691.2
28,33,116,585,625,240
14,185,232,5700,1257,6175
40,186,389,2640,750,1920
12,90,445,10800,1410,2849
28,15,107,930,800,204.8
7,475,331,13230,1400,14090
28,245,561,7080,745,5046
7,250,331,13230,1400,13060
28,45,118,1270,706,542.2
55,35,146,514,675,432
28,150,212,2800,825,1267
28,245,561,7080,745,5046
28,50,125,1550,730,786.4
40,49,116,585,700,268.8
55,65,135,378,725,174
14,15,210,4940,300,921.6
14,15,210,4940,300,845.6
14,50,103,2200,1100,1151
28,15,116,585,625,240
40,150,389,2640,725,1856
28,65,77,950,730,599
32,35,227,1178,444,213.1
12,80,445,10800,945,5299
80,29,169,289,625,80
7,150,251,10300,1035,5829
65,140,324,754,675,432.1
40,25,67,370,625,200
28,195,294,3540,1006,3250
28,15,110,1178,497,127.2
40,127,255,1700,775,1488
14,75,123,3000,1090,2150
40,150,255,1700,840,1344
90,520,484,681,600,345.6
40,75,332,1950,535,616.3
14,47,132,3300,1266,1894
40,29,79,292,810,155.5
40,35,238,1170,525,302.4
40,15,116,585,660,253.4
12,125,284,6600,1530,5027
40,35,238,1170,675,388.8
40,25,116,585,672,258
28,45,148,1870,902,1155
28,100,398,5200,722,2218
16,120,200,4400,1506,4375
28,55,148,1870,1033,793.3
14,130,232,5700,1188,5728
40,25,57,260,520,19.68
14,50,123,3000,1125,2460
22,45,133,1200,650,256
40,244,520,3000,772,1581
65,95,240,505,600,192
40,50,116,585,700,268.8
40,116,238,1170,900,691.2
7,85,158,6400,1000,4787
28,50,118,1270,797,612.1
28,15,245,2410,758,388.1
32,65,246,1303,760,291.8
28,100,294,3540,719,1933
45,35,114,177,133,96
28,33,118,1270,837,702.7
28,100,212,2800,850,2176
28,33,87,1020,954,732.7
55,14,121,314,400,32
12,160,545,13600,1365,6451
14,130,232,5700,1188,5728
28,33,116,585,775,240
40,60,137,826,650,832
28,90,245,2410,554,425.5
40,30,104,627,600,480
28,50,118,1270,993,381.3
14,10,74,1800,937,797.2
40,12,116,585,500,96
65,25,86,210,540,20.8
28,80,123,1500,950,1216
28,33,87,1020,980,752.6
16,100,314,7200,1557,8945
65,50,324,754,500,160
55,800,470,1400,610,622.1
8,320,628,28300,1440,29770
90,203,181,232,500,240
28,75,148,1870,993,1439
40,225,334,2154,850,2720
12,115,545,13600,1140,7066
40,49,116,585,700,268.8
40,9,75,450,277,44.32
40,19,59,292,650,104
28,120,228,2940,1127,2413
80,40,127,210,500,38.4
40,28,144,727,500,240
12,175,445,10800,1470,7181
28,225,352,4313,900,3226
12,150,545,13600,1380,9362
28,150,294,3540,915,2634
28,250,352,4313,850,4096
14,65,123,3000,1090,2106
28,65,123,1500,900,952.3
28,45,123,1500,725,992
28,55,148,1870,1029,1405
14,65,123,3000,1175,2462
28,200,352,4313,800,2867
40,33,57,260,589,44.86
40,15,79,292,475,91.2
55,48,146,514,550,352
28,15,116,585,775,297.6
7,205,251,10300,1243,10440
28,185,352,4313,925,2995
40,25,67,370,700,224
28,35,77,950,725,633.6
28,100,366,5000,723,2961
28,190,366,5000,970,3973
40,74,166,1040,690,1104
40,12,79,292,574,110.1
80,20,169,289,475,60.8
28,175,596,8900,1000,8192
55,75,196,505,600,144
14,150,232,5700,1168,5259
14,85,232,5700,926,4940
28,250,366,5000,850,3482
7,110,158,6400,1500,5196
28,140,294,3540,980,1981
28,41,118,1270,876,336.4
55,50,121,314,550,89.6
55,106,192,666,777,497.3
14,75,132,3300,1392,2332
65,25,86,210,567,22.4
55,250,256,956,625,1000
80,29,169,289,625,80
22,30,181,1300,200,640
16,75,200,4400,1076,3031
14,50,123,3000,1002,2460
40,150,520,3000,552,847.9
28,100,398,5200,975,2496
40,50,166,1040,700,1120
14,30,74,1800,1228,751.6
28,50,77,950,730,599
28,55,123,1500,800,819.2
16,235,610,15300,1304,10340
40,19,59,292,650,104
28,300,398,5200,557,4825
45,120,168,372,500,240
40,50,57,260,589,44.86
7,15,156,9800,400,1434
28,30,87,1020,889,341.4
28,55,123,1500,800,819.2
32,65,246,1303,760,194.6
65,25,86,210,540,17.28
28,45,56,690,600,384
28,33,87,1020,980,752.6
40,200,389,2640,800,2253
28,245,561,7080,745,5046
12,80,545,13600,930,5914
40,25,79,292,523,100.4
40,172,529,3100,513,722.3
32,35,246,1303,686,526.8
40,14,57,260,500,34.24
16,250,610,15300,1190,9526
55,110,192,666,669,428.2
40,74,166,1040,690,1104
28,45,118,1270,837,642.8
40,15,59,292,600,96
16,75,200,4400,1291,2974
55,150,470,1400,602,462.3
40,219,520,3000,732,1405
28,45,148,1870,863,883.7
40,25,67,370,625,200
55,14,121,314,500,80
40,160,332,1950,701,941.5
14,15,210,4940,300,845.6
80,20,127,210,450,28.8
40,20,104,716,600,576
40,75,212,1700,680,1306
55,45,135,378,722,173.3
55,30,135,378,680,163.2
40,29,79,292,810,155.5
14,230,495,12500,1200,10750
65,59,240,505,550,176
65,35,153,390,594,142.6
28,15,110,1178,450,115.2
14,75,123,3000,850,1306
40,39,104,627,650,416
40,19,59,292,650,104
14,50,123,3000,1090,2150
28,300,294,3540,915,3130
55,65,135,378,796,191
14,130,232,5700,1120,5700
14,250,495,12500,1250,12030
14,15,210,4940,300,1792
14,100,232,5700,1000,4963
40,600,520,3000,574,1176
55,40,121,314,450,72
40,39,118,716,650,416
55,20,73,242,600,96
40,75,166,1040,800,1280
14,18,74,1800,1303,1147
28,51,118,1270,954,732.7
40,38,144,727,550,264
7,300,750,50000,1000,23070
65,75,240,505,600,192
28,250,561,7080,875,5345
12,250,815,21100,1297,15670
28,75,366,5000,723,2961
28,15,87,1020,719,291.1
14,15,210,4940,300,384.4
28,250,561,7080,836,4709
65,20,86,210,550,22.4
28,225,561,7080,575,2870
14,175,232,5700,1257,6359
28,25,110,1178,600,153.6
28,250,366,5000,834,2989
65,20,162,282,575,48
28,50,118,1270,1085,833.3
14,10,210,4940,300,384.4
12,50,200,4700,1065,2500
32,35,227,1178,444,355.2
40,105,238,1170,871,501.4
12,280,754,18600,1350,16310
